Row Id,Territory ID,Year,X,Y,CLC2012,Pop_den,HFP,Dist_settl,Dist_roads
67,DN,2010,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
75,MI,2010,4630039.296,3155101.024,104.8840032,28.94130521,11.43220255,276.1928472,667.0800836
83,RW,2010,4287149.573,3170280.836,103.5758405,101.5717625,13.57589019,113.0515218,408.6942013
86,KRH,2010,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
92,SL,2010,4615931.548,3161729.308,104.1570548,260.4926917,19.65108879,158.3064532,265.3756587
99,WE,2010,4611075.566,3176051.282,103.9234328,63.80920398,17.82661692,149.5599005,470.5585075
103,AG,2010,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
110,JW,2010,4529444.986,3222361.279,103.6960394,71.0031844,14.27410688,283.5873719,527.4167579
113,LE,2010,4506734.556,3240351.165,103.8153586,40.6775494,10.11884736,404.01936,424.5561638
119,LB,2010,4614354.699,3210187.227,104.0023871,17.82837677,8.764919435,315.7007161,633.9171971
125,KH,2010,4591906.602,3143146.831,103.8472174,41.1597951,12.04058288,329.1535784,223.737952
131,SP,2010,4631541.134,3169241.713,103.4239514,99.22926514,14.92158814,114.2376238,481.2887706
137,AH,2010,4534779.343,3181598.282,103.5705052,34.56647772,12.26993835,404.5117343,453.8239857
146,MG,2010,4463789.96,2729209.335,104.523587,38.12134016,10.83819655,307.9418402,504.4686583
340,NY,2010,4658037.592,3146401.383,103.5065168,93.05442245,15.52362949,402.067456,411.1260571
19,NO,2011,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
29,Z,2011,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
39,DZ,2011,4660402.423,3159609.39,104.1475516,16.82813821,8.694108874,492.0289833,929.7398459
48,LUE,2011,4399576.669,3352736.836,103.6152507,32.53730601,7.448865897,470.9078293,282.6961301
57,UEM,2011,4595225.318,3398527.318,104.3098494,48.51921643,7.795256799,860.9264158,795.5837021
68,DN,2011,4642379.666,3142821.674,103.7958615,36.19811978,11.26293275,409.8513231,406.3077
76,MI,2011,4630039.296,3155101.024,104.8840032,28.94130521,11.43220255,276.1928472,667.0800836
87,KRH,2011,4500434.303,3338107.539,104.2700995,11.51721393,6.343432836,506.4330348,840.8493532
93,SL,2011,4615931.548,3161729.308,104.1570548,260.4926917,19.65108879,158.3064532,265.3756587
100,WE,2011,4611075.566,3176051.282,103.9234328,63.80920398,17.82661692,149.5599005,470.5585075
104,AG,2011,4473473.391,3229545.125,103.9200199,12.57169858,9.212136285,394.2913206,459.8365083
111,JW,2011,4529444.986,3222361.279,103.6960394,71.0031844,14.27410688,283.5873719,527.4167579
114,LE,2011,4506734.556,3240351.165,103.8153586,40.6775494,10.11884736,404.01936,424.5561638
120,LB,2011,4614354.699,3210187.227,104.0023871,17.82837677,8.764919435,315.7007161,633.9171971
126,KH,2011,4591906.602,3143146.831,103.8472174,41.1597951,12.04058288,329.1535784,223.737952
132,SP,2011,4631541.134,3169241.713,103.4239514,99.22926514,14.92158814,114.2376238,481.2887706
138,AH,2011,4534779.343,3181598.282,103.5705052,34.56647772,12.26993835,404.5117343,453.8239857
143,SE,2011,4596914.33,3189734.786,103.4621009,85.58102059,16.96811897,140.8154282,313.0823137
147,MU,2011,4329660.624,3325343.777,103.9665688,82.14123675,10.72717775,368.2269041,386.0910402
152,NY,2011,4658037.592,3146401.383,103.5065168,93.05442245,15.52362949,402.067456,411.1260571
157,SPJ,2011,4546334.476,3229779.27,103.5141493,37.57969861,12.78007659,292.8466206,491.5971055
341,MI II,2011,4626915.353,3160697.875,104.6131663,44.41537391,14.2117144,227.2560163,680.3688345
342,GKL,2011,4491407.72,3214894.351,103.583992,15.16649267,9.146109868,515.046781,648.4724832
344,HW,2011,4620704.308,3113830.127,103.3576544,159.1214065,18.10215856,163.6350343,286.2783746
20,NO,2012,4647954.986,3158232.693,104.5587504,64.36842105,13.7174908,292.2402746,826.1944085
30,Z,2012,4646307.004,3178424.006,103.6068924,56.53717241,12.2328808,256.5897857,519.9479338
